
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-08-12 04:01:21 /images/potrait/osis/sasbud/netha.webp ....... ~ 1.29ms
  2026-08-12 04:01:21 /images/potrait/osis/sasbud/fio.webp ......... ~ 3.30ms
  2026-08-12 04:01:21 /images/potrait/osis/sasbud/acit.webp ........ ~ 2.57ms
  2026-08-12 04:01:21 /images/potrait/osis/sasbud/ifti.webp ........ ~ 0.38ms
  2026-08-12 04:01:21 /images/potrait/osis/akad/cello.webp ......... ~ 0.62ms
  2026-08-12 04:01:21 /images/potrait/osis/akad/fakhri.webp ........ ~ 1.05ms
  2026-08-12 04:01:21 /images/logo/osis/sasbud.webp ................ ~ 5.64ms
  2026-08-12 04:01:21 /images/potrait/osis/akad/joshua.webp ........ ~ 4.53ms
  2026-08-12 04:01:21 /images/potrait/osis/akad/tasnim.webp ........ ~ 3.74ms
  2026-08-12 04:01:21 /images/logo/osis/akad.webp .................. ~ 5.51ms
  2026-08-12 04:01:21 /images/potrait/osis/akad/nadal.webp ......... ~ 4.84ms
  2026-08-12 04:01:21 /images/potrait/osis/akad/safior.webp ........ ~ 5.37ms
  2026-08-12 04:01:21 /images/potrait/osis/dhl/thalia.webp ......... ~ 1.95ms
  2026-08-12 04:01:21 /images/potrait/osis/dhl/fathimmmm.webp ...... ~ 2.41ms
  2026-08-12 04:01:21 /images/potrait/osis/dhl/syamil.webp ......... ~ 1.20ms
  2026-08-12 04:01:21 /images/potrait/osis/dhl/evan.webp ........... ~ 1.64ms
  2026-08-12 04:01:21 /images/potrait/osis/dhl/amanda.webp ......... ~ 2.20ms
  2026-08-12 04:01:21 /images/logo/osis/dhl.webp ................... ~ 4.90ms
  2026-08-12 04:01:21 /images/potrait/osis/rohani/labib.webp ....... ~ 0.65ms
  2026-08-12 04:01:22 /images/potrait/osis/rohani/toreno.webp ...... ~ 0.92ms
  2026-08-12 04:01:22 /images/potrait/osis/rohani/zulpan.webp ...... ~ 1.13ms
  2026-08-12 04:01:22 /images/potrait/osis/rohani/dasha.webp ....... ~ 0.76ms
  2026-08-12 04:01:21 /images/logo/osis/rohani.webp ................ ~ 1.64ms
  2026-08-12 04:01:22 /images/logo/general/mpk514.webp ............. ~ 0.06ms
  2026-08-12 04:01:22 /images/potrait/mpk/bph/gisel.webp ........... ~ 0.45ms
  2026-08-12 04:01:22 /images/logo/mpk/bph.webp .................... ~ 0.84ms
  2026-08-12 04:01:22 /images/potrait/mpk/bph/bagas.webp ........... ~ 0.69ms
  2026-08-12 04:01:22 /images/potrait/mpk/bph/ghina.webp ........... ~ 0.06ms
  2026-08-12 04:01:22 /images/potrait/mpk/bph/naila_raisha.webp .... ~ 1.10ms
  2026-08-12 04:01:22 /images/potrait/mpk/bph/diandra.webp ......... ~ 1.64ms
  2026-08-12 04:01:22 /images/potrait/mpk/bph/najla.webp ........... ~ 0.06ms
  2026-08-12 04:01:22 /images/potrait/mpk/bph/kenzie_nabil.webp .... ~ 0.42ms
  2026-08-12 04:01:22 /images/potrait/mpk/bph/nadaura.webp ......... ~ 0.30ms
  2026-08-12 04:01:22 /images/logo/mpk/kom_a.webp .................. ~ 0.57ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_a/danisha.webp ....... ~ 0.94ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_a/naura.webp ......... ~ 1.22ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_a/saut.webp .......... ~ 0.70ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_a/nabil.webp ......... ~ 0.38ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_b/amira_altha.webp . ~ 500.91ms
  2026-08-12 04:01:22 /images/logo/mpk/kom_b.webp ................ ~ 501.13ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_b/danu.webp ........ ~ 501.34ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_b/kiyan.webp ......... ~ 0.32ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_b/jasmine.webp ....... ~ 0.07ms
  2026-08-12 04:01:22 /images/logo/mpk/kom_c.webp .................. ~ 0.31ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_c/georgina.webp ...... ~ 1.01ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_c/farhan.webp ........ ~ 0.97ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_c/shakina.webp ....... ~ 0.53ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_c/azka_ziyad.webp .... ~ 0.04ms
  2026-08-12 04:01:22 /images/potrait/mpk/kom_c/amira_nadia.webp ... ~ 0.04ms
